ref,name
m1,Anthony
m2,Bessarion
m3, Benjamin
m4,Daniel
m5, Zeno
m6, Zacharias
m7 , Elias
m8,Theodore of Pherme
m9 ,Theodore of Enaton
m10,Theodore of Eleutheropolis
m11 ,Theophilus the Archbishop
m12,John the Cenobite
m13,Isidore the Priest
m14,Joseph of Panephysis 
m15, John the Persian
m16 ,Hilarion
m17 , Cassian
m18, Cyrus
m19, Lucius
m20,Longinus
m21,Macarius the Great
m22, Matoes
m23 , Poemen
m24, Pambo
m25,Joseph
m26 ,Doulas
m27, Ammoes
m28 ,Arsenius
m29, Abraham of Iberia
m30 , Moses
m31, Agathon
m32 ,Saba
n1,Cyril
g1,anonymous group of brothers
a1, anonymous hunter
a2 ,man possessed with a devil
a3, brother
a4, one of the brethren
a5 ,Abba Benjamin’s sons
a6 , A brother
a7 ,The devil
a8 ,Some brothers
a9 , The Faster
a10,another old man
a11, old men
a12,A brother
a13, Egyptian brother
a14, a brother
a15,a brother
p1,Scetis
p2, Lycopolis
p3, Alexandria
p4, Syria 
p5 ,Palestine
p6, Iberia 
p7 ,Eleutheropolis
p8  ,Egypt  
p9 ,Pherme 
